"","Sample.ID","Longitude","Latitude","Elevation","Biome","Biome.Detail","Sample.Type","Location","Year.of.Sampling","Month.of.Sampling","pH","Dominant.Plants"
"1","GF01012720S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"2","GF01012721S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"3","GF03007985S",-118.48,47.8407,735,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.8,"Triticum aestivum"
"4","GF03007986S",-118.502,47.9046,506,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.5,"Triticum aestivum"
"5","GF01012722S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"6","GF01012723S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"7","GF01012724S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"8","GF01012725S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"9","GF01012726S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"10","GF01012727S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"11","GF01012728S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"12","GF01012797S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"13","GF03007987S",-119.522,47.8355,698,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.6,"Triticum aestivum"
"14","GF03004641S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","rhizosphere soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"15","GF01012729S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"16","GF01012731S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"17","GF01012732S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"18","GF01012733S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"19","GF01012734S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"20","GF01012735S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"21","GF01012736S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"22","GF03004645S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"23","GF01012737S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"24","GF01012738S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"25","GF01012739S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"26","GF01012740S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"27","GF01012747S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"28","GF03007989S",-119.763,48.0034,867,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.5,"Triticum aestivum"
"29","GF01012756S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"30","GF01012504S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"31","GF03007990S",-119.757,47.9514,791,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.6,"Brassica napus"
"32","GF03004649S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","rhizosphere soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"33","GF01012743S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"34","GF01012748S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"35","GF01012749S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"36","GF01012755S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"37","GF01012753S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"38","GF01012752S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"39","GF01012751S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"40","GF01012744S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"41","GF01012750S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"42","GF01012754S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"43","GF01012730S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"44","GF01012757S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"45","GF01012758S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"46","GF03007991S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",7.2,"Triticum aestivum"
"47","GF03008012S",-118.502,47.9046,506,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.5,"Triticum aestivum"
"48","GF03008002S",-118.48,47.8373,746,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.6,"Brassica napus"
"49","GF01012760S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"50","GF01012779S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
